"Constructor Name","Constructor URL","Engine Manufacturer","Licensed In Country","Base Country","Seasons Active","Wins"
"North American Racing Team","https://en.wikipedia.org/wiki/North_American_Racing_Team","","United States","","1964–1965, 1969",""
"Otelle Nucci","https://en.wikipedia.org/w/index.php?title=Otelle_Nucci&action=edit&redlink=1","","South Africa","","1962–1963, 1965",""
"Reg Parnell Racing","https://en.wikipedia.org/wiki/Reg_Parnell_Racing","","United Kingdom","","1959, 1961–1969",""
"Rob Walker Racing Team","https://en.wikipedia.org/wiki/Rob_Walker_Racing_Team","","United Kingdom","","1953–1955, 1957–1970","9"
"Scuderia Achille Varzi","https://en.wikipedia.org/wiki/Scuderia_Achille_Varzi","","Italy","","1950",""
"Scuderia Ambrosiana","https://en.wikipedia.org/wiki/Scuderia_Ambrosiana","","Italy","","1950–1951, 1954",""
"Scuderia Centro Sud","https://en.wikipedia.org/wiki/Scuderia_Centro_Sud","","Italy","","1957–1961, 1963–1965",""
"Scuderia Filipinetti","https://en.wikipedia.org/wiki/Scuderia_Filipinetti","","Switzerland","","1962–1963",""
"Scuderia Franera","https://en.wikipedia.org/w/index.php?title=Scuderia_Franera&action=edit&redlink=1","","United Kingdom","","1952",""
"Scuderia Sant'Ambroeus","https://en.wikipedia.org/w/index.php?title=Scuderia_Sant%27Ambroeus&action=edit&redlink=1","","Italy","","1961",""
"Scuderia Sud Americana","https://en.wikipedia.org/wiki/Juan_Manuel_Fangio","","Argentina","","1958",""
"Silvio Moser Racing Team","https://en.wikipedia.org/wiki/Silvio_Moser_Racing_Team","","Switzerland","","1966, 1969–1970",""
"T.A.S.O. Mathieson","https://en.wikipedia.org/wiki/T.A.S.O._Mathieson","","United Kingdom","","1953",""
"Team Gunston","https://en.wikipedia.org/wiki/Team_Gunston","","Rhodesia","","1962–1963, 1965, 1967–1972, 1974–1975",""
